f;probs
length(A);0.327975648
nrow(A);0.088785612
is.na(A);0.082437026
max(A);0.055495595
mean(A);0.046439995
cbind(A,A);0.045872954
ncol(A);0.042959696
t(A);0.039668066
min(A);0.037519823
rbind(A,A);0.037160577
diag(A);0.013582108
rowSums(A);0.007780921
colSums(A);0.005802738
colMeans(A);0.00451772
rowMeans(A);0.003847299
det(A);0.000921636
as.table(A);0.000374754
cor(A);0.000117854
!is.na(A);0.082437026
A==0;0.000516902
A!=0;0.000516902
A<=0;0.000516902
A>=0;0.000516902
A<0;0.000516902
A>0;0.000516902
A==1;0.000516902
A!=1;0.000516902
A<=1;0.000516902
A>=1;0.000516902
A<1;0.000516902
A>1;0.000516902
A*A;0.000516902
apply(A,1,rev);0.034791616
apply(A,2,rev);0.034791616
